Vendor_ID,Vendor_Type,Area,Latitude,Longitude,Customer_Footfall,Traffic_Congestion_Level,Waste_Generation_kg,Peak_Hour,Digital_Payment_Available,Timestamp
V082,Flowers,Tech Park,13.087827,77.635322,427,10,14.36,Evening,No,2026-05-07 15:39:00
V083,Fruit,Tech Park,12.999965,77.68881,328,9,3.31,Morning,Yes,2026-05-02 17:20:00
V084,Clothing,Tech Park,12.974209,77.53507,157,8,14.7,Evening,Yes,2026-05-02 10:54:00
V085,Tea Stall,Mall Junction,13.06508,77.526553,432,5,7.23,Afternoon,Yes,2026-05-07 06:26:00
V086,Fruit,Tech Park,12.921702,77.552531,177,3,0.98,Afternoon,No,2026-05-01 07:48:00
V087,Books,College Area,12.989182,77.529021,126,1,19.84,Afternoon,No,2026-05-07 14:41:00
V088,Snacks,College Area,12.923923,77.510769,102,2,14.97,Morning,No,2026-05-06 22:21:00
V089,Flowers,Hospital Zone,13.049222,77.567726,424,5,5.07,Evening,No,2026-05-05 12:52:00
V090,Tea Stall,Hospital Zone,12.914653,77.57793,140,4,19.07,Afternoon,No,2026-05-07 00:01:00
V091,Tea Stall,Mall Junction,13.010057,77.510996,342,2,17.97,Morning,No,2026-05-07 15:17:00
V092,Snacks,Bus Stand,12.953977,77.629062,188,8,14.74,Evening,Yes,2026-05-02 07:32:00
V093,Clothing,College Area,12.961604,77.591436,93,4,4.03,Morning,Yes,2026-05-05 19:54:00
V094,Electronics,City Center,13.084432,77.548078,337,5,9.87,Evening,No,2026-05-08 01:54:00
V095,Snacks,Hospital Zone,12.988029,77.511738,303,2,16.43,Afternoon,Yes,2026-05-03 02:57:00
V096,Food,Tech Park,12.962602,77.565488,381,3,19.4,Evening,Yes,2026-05-03 06:05:00
V097,Food,Mall Junction,13.061251,77.663259,310,5,2.89,Evening,No,2026-05-07 21:59:00
V098,Clothing,Mall Junction,13.044971,77.573687,108,2,14.02,Morning,No,2026-05-03 12:22:00
V099,Books,Mall Junction,13.015564,77.665184,325,1,9.34,Morning,No,2026-05-08 02:21:00
V100,Food,Railway Station,12.929099,77.66664,141,5,12.59,Evening,Yes,2026-05-05 10:38:00
V101,Snacks,Railway Station,12.911513,77.672657,379,8,17.96,Evening,Yes,2026-05-03 21:00:00
V102,Tea Stall,Railway Station,13.049627,77.521397,429,4,3.88,Afternoon,Yes,2026-05-05 14:08:00
V103,Snacks,City Center,13.030786,77.522049,452,4,4.03,Afternoon,No,2026-05-07 08:44:00
V104,Food,Bus Stand,12.950272,77.546609,135,6,15.98,Evening,No,2026-05-04 16:06:00
V105,Clothing,Bus Stand,12.984886,77.644837,331,5,14.44,Evening,No,2026-05-07 15:16:00
V106,Food,Railway Station,13.070029,77.565832,472,5,8.75,Afternoon,No,2026-05-02 08:54:00
V107,Fruit,City Center,13.052123,77.551714,256,5,17.27,Morning,Yes,2026-05-05 17:51:00
V108,Clothing,Mall Junction,12.976756,77.587846,194,9,13.04,Evening,Yes,2026-05-07 19:27:00
V109,Clothing,Bus Stand,13.070535,77.654727,290,6,16.01,Afternoon,No,2026-05-02 06:39:00
V110,Books,Mall Junction,12.909663,77.519701,380,1,13.12,Morning,No,2026-05-02 11:08:00
V111,Food,City Center,12.998238,77.627112,126,5,19.92,Evening,Yes,2026-05-03 03:28:00
V112,Books,City Center,13.059579,77.660157,327,10,15.9,Afternoon,Yes,2026-05-02 20:21:00
V113,Books,City Center,13.042576,77.503229,144,2,15.63,Evening,Yes,2026-05-07 12:17:00
V114,Food,Railway Station,12.934362,77.605968,381,5,0.96,Evening,Yes,2026-05-05 04:54:00
V115,Clothing,Bus Stand,12.96034,77.615987,434,1,4.55,Evening,No,2026-05-03 15:28:00
V116,Flowers,Mall Junction,13.029691,77.557863,297,1,3.47,Morning,No,2026-05-02 01:05:00
V117,Fruit,Bus Stand,12.926683,77.567945,304,5,3.58,Morning,No,2026-05-06 11:11:00
V118,Food,Railway Station,13.047554,77.661452,388,2,13.9,Evening,Yes,2026-05-04 18:38:00
V119,Electronics,Market Road,12.958834,77.68988,464,1,7.37,Morning,No,2026-05-05 06:01:00
V120,Books,Hospital Zone,12.901565,77.671914,381,3,11.67,Morning,Yes,2026-05-07 07:01:00
V121,Flowers,Bus Stand,13.045688,77.669719,99,9,11.39,Afternoon,Yes,2026-05-05 11:37:00
V122,Fruit,Tech Park,12.919126,77.503084,311,6,11.73,Afternoon,Yes,2026-05-08 02:41:00
V123,Flowers,Hospital Zone,12.94873,77.57088,337,10,4.8,Afternoon,No,2026-05-03 19:38:00
V124,Clothing,Tech Park,13.078122,77.638357,306,9,6.35,Afternoon,No,2026-05-02 22:33:00
V125,Food,City Center,13.077307,77.639129,442,7,6.59,Afternoon,No,2026-05-03 22:50:00
V126,Books,City Center,13.081439,77.698074,348,6,2.09,Morning,Yes,2026-05-05 22:50:00
V127,Tea Stall,City Center,13.064924,77.599869,384,3,12.04,Evening,No,2026-05-04 00:16:00
V128,Books,Market Road,12.973787,77.615378,495,9,9.37,Evening,No,2026-05-05 09:29:00
V129,Books,College Area,12.956026,77.57922,296,1,5.65,Evening,No,2026-05-03 20:18:00
V130,Snacks,Railway Station,12.960089,77.529527,475,10,9.88,Afternoon,Yes,2026-05-04 13:46:00
V131,Snacks,Tech Park,13.006735,77.686004,338,4,8.76,Evening,Yes,2026-05-01 12:52:00
V132,Electronics,College Area,12.966012,77.695009,456,7,18.25,Evening,No,2026-05-02 20:48:00
V133,Flowers,Hospital Zone,12.977002,77.686185,219,1,5.12,Afternoon,Yes,2026-05-01 08:26:00
V134,Books,College Area,13.00967,77.688922,470,2,17.47,Morning,No,2026-05-04 08:22:00
V135,Electronics,Bus Stand,12.985582,77.593449,212,3,4.18,Evening,No,2026-05-04 15:41:00
V136,Flowers,College Area,12.9886,77.524449,460,2,15.39,Morning,Yes,2026-05-05 08:42:00
V137,Flowers,Tech Park,12.97293,77.639421,264,10,3.11,Afternoon,Yes,2026-05-07 03:37:00
V138,Books,Market Road,12.933897,77.651068,406,5,13.34,Afternoon,Yes,2026-05-04 08:48:00
V139,Flowers,Market Road,12.989426,77.52287,262,2,18.56,Morning,Yes,2026-05-01 08:27:00
V140,Food,Tech Park,12.985049,77.634048,314,4,10.95,Afternoon,No,2026-05-06 13:28:00
V141,Food,Hospital Zone,12.995151,77.519446,217,7,17.12,Evening,No,2026-05-05 20:44:00
V142,Fruit,Mall Junction,13.023196,77.678756,372,5,4.93,Morning,No,2026-05-02 21:11:00
V143,Fruit,College Area,12.996955,77.696388,288,2,1.15,Evening,No,2026-05-04 11:54:00
V144,Fruit,College Area,13.026999,77.607845,460,6,4.13,Afternoon,Yes,2026-05-05 10:24:00
V145,Tea Stall,Tech Park,13.05447,77.68806,72,9,1.08,Afternoon,No,2026-05-07 00:01:00
V146,Flowers,Bus Stand,12.915833,77.654088,109,3,6.2,Afternoon,Yes,2026-05-03 16:46:00
V147,Electronics,Market Road,12.938405,77.662735,144,8,2.27,Morning,Yes,2026-05-07 23:47:00
V148,Flowers,City Center,13.001588,77.650304,125,10,8.33,Morning,No,2026-05-03 16:47:00
V149,Tea Stall,Hospital Zone,12.929725,77.627457,173,10,8.05,Afternoon,Yes,2026-05-04 21:39:00
V150,Clothing,Market Road,13.093701,77.654094,180,7,11.09,Morning,Yes,2026-05-05 21:13:00
V151,Fruit,Market Road,13.01248,77.513971,330,5,17.33,Afternoon,Yes,2026-05-08 00:42:00
V152,Tea Stall,Mall Junction,13.012053,77.631675,286,3,5.41,Afternoon,Yes,2026-05-02 03:59:00
V153,Fruit,Bus Stand,13.016292,77.563555,54,2,18.86,Morning,Yes,2026-05-04 11:25:00
V154,Snacks,College Area,12.942621,77.660706,63,2,12.82,Morning,No,2026-05-01 10:19:00
V155,Tea Stall,Market Road,13.026133,77.573246,372,7,14.46,Afternoon,No,2026-05-07 08:17:00
V156,Snacks,College Area,12.979073,77.661785,115,5,6.6,Evening,No,2026-05-06 22:32:00
V157,Snacks,Railway Station,12.998407,77.555585,495,10,7.82,Evening,Yes,2026-05-04 01:59:00
V158,Books,Mall Junction,12.936154,77.651452,128,1,2.94,Morning,No,2026-05-08 01:19:00
V159,Tea Stall,Railway Station,13.036541,77.500633,368,4,7.18,Afternoon,Yes,2026-05-06 12:50:00
V160,Fruit,College Area,13.006978,77.562982,89,8,0.88,Afternoon,No,2026-05-04 01:00:00
V161,Flowers,Market Road,13.015194,77.646027,285,3,2.42,Morning,Yes,2026-05-03 23:24:00
V162,Fruit,Tech Park,13.018798,77.565511,247,4,15.93,Afternoon,Yes,2026-05-04 12:38:00
V163,Flowers,Tech Park,13.094843,77.552527,426,9,16.46,Evening,Yes,2026-05-04 19:37:00
V164,Flowers,College Area,13.052034,77.549451,65,6,17.58,Morning,No,2026-05-04 06:55:00
V165,Books,Tech Park,13.081652,77.683376,175,9,1.35,Morning,Yes,2026-05-04 15:18:00
V166,Tea Stall,Tech Park,12.976203,77.618361,341,5,2.15,Morning,No,2026-05-07 16:22:00
V167,Food,City Center,12.967529,77.634133,196,1,3.79,Evening,Yes,2026-05-04 14:40:00
V168,Books,College Area,12.902988,77.687091,237,2,16.12,Afternoon,Yes,2026-05-07 04:02:00
V169,Snacks,City Center,13.010085,77.633331,293,9,5.71,Afternoon,No,2026-05-03 05:01:00
V170,Snacks,City Center,13.014866,77.642558,374,1,19.69,Afternoon,Yes,2026-05-02 19:10:00
V171,Fruit,Bus Stand,13.000226,77.655073,93,5,10.61,Evening,Yes,2026-05-04 10:16:00
V172,Food,College Area,13.000317,77.691658,440,10,2.31,Afternoon,Yes,2026-05-02 07:35:00
V173,Flowers,City Center,12.944843,77.628081,54,10,8.41,Morning,Yes,2026-05-03 21:11:00
V174,Clothing,Tech Park,12.931086,77.659449,91,8,2.86,Evening,Yes,2026-05-04 15:19:00
V175,Books,Bus Stand,12.960847,77.68113,452,8,1.85,Evening,No,2026-05-01 21:33:00
V176,Food,Market Road,13.054186,77.584018,287,1,9.35,Morning,No,2026-05-07 02:10:00
V177,Flowers,Mall Junction,12.912371,77.56581,40,4,16.86,Evening,Yes,2026-05-03 10:08:00
V178,Electronics,College Area,12.920063,77.51238,101,4,13.46,Morning,No,2026-05-04 21:19:00
V179,Electronics,Tech Park,13.02667,77.67672,158,1,17.85,Morning,Yes,2026-05-07 00:52:00
V180,Books,Market Road,13.067573,77.655154,278,5,16.04,Evening,No,2026-05-08 03:55:00
V181,Snacks,City Center,12.976749,77.587178,60,10,8.35,Evening,Yes,2026-05-07 11:04:00
V182,Food,Railway Station,13.018299,77.548167,272,2,12.34,Evening,Yes,2026-05-03 15:17:00
V183,Snacks,Tech Park,13.044057,77.52188,226,8,18.01,Evening,No,2026-05-06 23:24:00
V184,Fruit,Hospital Zone,12.958313,77.696294,41,2,6.51,Morning,No,2026-05-05 07:41:00
V185,Food,Hospital Zone,13.098288,77.524219,257,9,10.32,Evening,No,2026-05-06 13:50:00
V186,Clothing,Railway Station,13.092748,77.689023,168,1,12.53,Evening,Yes,2026-05-06 10:54:00
V187,Clothing,Mall Junction,13.006418,77.521068,155,4,2.83,Morning,No,2026-05-01 15:59:00
V188,Snacks,Tech Park,12.914143,77.617362,233,1,14.43,Evening,No,2026-05-02 23:15:00
V189,Snacks,Railway Station,13.070405,77.657122,246,3,15.71,Morning,No,2026-05-04 21:11:00
V190,Food,City Center,13.073387,77.652863,30,6,17.42,Morning,Yes,2026-05-06 05:36:00
V191,Fruit,Bus Stand,13.056432,77.699565,442,10,7.07,Evening,Yes,2026-05-01 12:43:00
V192,Snacks,Market Road,12.996048,77.501547,350,2,8.69,Evening,No,2026-05-01 11:04:00
V193,Fruit,Railway Station,13.092301,77.642875,92,10,3.25,Morning,No,2026-05-04 07:53:00
V194,Flowers,College Area,12.923978,77.637698,389,4,15.03,Evening,Yes,2026-05-05 22:22:00
V195,Food,College Area,13.048382,77.61724,141,1,2.11,Afternoon,No,2026-05-05 10:05:00
V196,Books,Mall Junction,13.048962,77.684139,142,1,17.92,Afternoon,Yes,2026-05-03 00:42:00
V197,Flowers,College Area,12.931334,77.687717,483,10,18.71,Morning,Yes,2026-05-04 07:24:00
V198,Snacks,City Center,12.925131,77.543833,476,1,9.02,Evening,Yes,2026-05-07 15:39:00
V199,Snacks,College Area,12.952704,77.654568,22,5,18.55,Morning,Yes,2026-05-05 14:33:00
V200,Flowers,Tech Park,13.01053,77.528534,153,1,7.31,Morning,No,2026-05-04 01:56:00
